"id","dane","tipoInstitucion","nombre","direccion","barrio","email1","rector","telefono","email2","localidad.id"
47,"111001012033","DISTRITAL","COL VEINTE DE JULIO (IED)","KR 7 # 24 - 01 SUR","20 DE JULIO","cedveintedejulio4@redp.edu.co","GERMAN AUGUSTO AVENDAÑO CHAVES","2721598 -- 3660830",,4
48,"111001012301","DISTRITAL","COL SAN JOSE SURORIENTAL (IED)","CL 42 SUR # 12 A - 66 ESTE","SAN JOSE SUR ORIENTAL","escdisanjosesurori4@redp.edu.co","JULIO ROBERTO CASTRO LEON","3644229 -- 3644230 -- 3644231",,4
49,"111001012335","DISTRITAL","COL JUANA ESCOBAR (IED)","KR 15 ESTE # 58 A SUR - 04","SAN RAFAEL USME","cedbasyjuanaescob4@redp.edu.co","DEIBER URIEL VILLAR UÑATE","3652789",,4
50,"111001014168","DISTRITAL","COL ALTAMIRA SURORIENTAL (IED)","CL 42 A SUR # 12 A - 27 ESTE","ALTAMIRA","escdialtamirasuror4@redp.edu.co","CLARA DENIS CABRERA AHUMADA","2068596 -- 3672172","altamirasuroriental@gmail.com",4
51,"111001014176","DISTRITAL","COL SAN CRISTOBAL SUR (IED)","KR 7 ESTE # 14  - 76 SUR","SAN CRISTOBAL SUR","cedsancristobalsu4@redp.edu.co","SAUL HERNAN RAMIREZ CAICEDO","2464811 -- 2460043 -- 3337037",,4
52,"111001014451","DISTRITAL","COL JOSE ACEVEDO Y GOMEZ (IED)","TV 4 ESTE # 27 - 55 SUR","SAN PEDRO SUR ORIENTAL","cedjoseacevedoygo4@redp.edu.co","MIGUEL ANTONIO MEDINA CARDENAS","3645126",,4
53,"111001015903","DISTRITAL","COL MONTEBELLO (IED)","CL 26 SUR # 2 - 44 ESTE","MONTEBELLO","cedmontebello4@redp.edu.co","LUIS ALBERTO ORTIZ DUARTE","2067680 -- 3644218 -- 3642147 -- 3672781",,4
54,"111001015911","DISTRITAL","COL LOS ALPES (IED)","KR 12 ESTE # 33 A - 80 SUR","LOS ALPES","cedlosalpes4@redp.edu.co","RUBY LILIANA MORENO","3670125 -- 3670116",,4
55,"111001016004","DISTRITAL","COL LA BELLEZA LOS LIBERTADORES (IED)","CL 64 SUR # 10 A - 39 ESTE","JUAN REY LA PAZ","cedlabelleza4@redp.edu.co","JORGE ROBERTO AMAYA PAVA","3654800 -- 3654700",,4
56,"111001018252","DISTRITAL","COL JOSE MARIA CARBONELL (IED)","KR 4 # 0 - 43","LAS BRISAS","coldijosemariacarb4@redp.edu.co","ANA JUANA GOMEZ DE ROJAS","2333652 -- 2469683 -- 2469967",,4
57,"111001018309","DISTRITAL","COL ATENAS (IED)","DG 34 SUR # 2 A - 05 ESTE","ATENAS","cedatenas4@redp.edu.co","MARTHA LUCIA MOLINA VANEGAS","2069970 -- 3644223",,4
58,"111001018325","DISTRITAL","COL JOSE JOAQUIN CASTRO MARTINEZ (IED)","CL 31 D BIS SUR # 2 - 24 ESTE","BELLO HORIZONTE","coldijosejoaquinca4@redp.edu.co","ALONSO CAMACHO SILVA","2065563 -- 3644221 -- 3644220",,4
59,"111001018333","DISTRITAL","COL EL RODEO (IED)","CL 40 A SUR # 2 - 56 ESTE","SAN MARTIN SUR","cedelrodeo4@redp.edu.co","VICTOR HUGO CHACON OROZCO","2068049 -- 3638423",,4
60,"111001018341","DISTRITAL","COL FRANCISCO JAVIER MATIZ (IED)","KR 2 A # 29 A - 29 SUR - KR 3 # 29 - 28 SUR","CORDOBA","cedfranciscojavie4@redp.edu.co","ALBA MERCEDES HERNANDEZ RAMIREZ","2082080 -- 2082082",,4
61,"111001018368","DISTRITAL","COL LA VICTORIA (IED)","KR 3 B ESTE # 38 - 25 SUR","LA VICTORIA","cedlavictoria4@redp.edu.co","GLORIA PATRICIA REYES SALCEDO","2068504 -- 3639119",,4
62,"111001018384","DISTRITAL","COL SAN ISIDRO SURORIENTAL (IED)","CL 34 SUR # 7 A - 88","SAN ISIDRO","cedsanisidrosuror4@redp.edu.co","FABIO GAITAN CALDERON","2397232",,4
63,"111001024686","DISTRITAL","COL MORALBA SURORIENTAL (IED)","CL 43 SUR TV 16 ESTE -- KR 16 A ESTE # 42 C - 80 SUR","MORALBA","cedmoralbasurorie4@redp.edu.co ","JOSE JORGE PINILLA SAENZ","3632320 -- 3676767 -- 3646165 -- 3643070","colegiomoralba08@gmail.com",4
64,"111001027324","DISTRITAL","COL FLORENTINO GONZALEZ (IED)","KR 5 A # 30 A - 45 SUR","20 DE JULIO","cedflorentinogonz4@redp.edu.co","JAIRO VIVAS VARGAS","2722011 -- 2722012",,4
65,"111001030066","DISTRITAL","COL MANUELITA SAENZ (IED)","KR 3 ESTE # 18 A - 34 / 74SUR ","SAN CRISTOBAL SUR","coldimediamanuelit4@redp.edu.co","JOSE ARNULFO PULIDO ROJAS","3332837 -- 2463064 -- 3332826","colmanuelitasaenz@gmail.com",4
66,"111001030864","DISTRITAL","COL ALEMANIA UNIFICADA (IED)","CL 37 SUR # 1 F - 00 ESTE","LAS GUACAMAYAS","cedguacamayas4@redp.edu.co","FABIOLA BALLEN TRIANA","3626978 -- 3645632","cedalemaniaunificada@redp.edu.co",4
67,"111001032280","DISTRITAL","COL TEC TOMAS RUEDA VARGAS (IED)","KR 5 ESTE # 25 - 51 SUR","MONTEBELLO","colditomasruedavar4@redp.edu.co","RUTH ISABEL ROJAS NEIRA","2062220 -- 2060781 -- 2060910",,4
68,"111001032433","DISTRITAL","COL REPUBLICA DEL ECUADOR (IED)","CL 7 A SUR # 0 -50 ESTE","BUENOS AIRES","coldirepdelecuador4@redp.edu.co","MARCO ANTONIO BRIÑEZ MONTENEGRO","2332566 -- 2469504 -- 2467236",,4
69,"111001034011","DISTRITAL","COL JUAN REY (IED)","CL 70 SUR # 13 B - 27 ESTE","JUAN REY LA PAZ","cedjuanrey4@redp.edu.co","VICTOR HUGO GALINDO BUITRAGO","3653999 -- 3652019 -- 3654888",,4
70,"111001035530","DISTRITAL","COL JOSE FELIX RESTREPO (IED)","KR 6 # 18 B - 04 SUR","PRIMERO DE MAYO","coldijosefelixrest4@redp.edu.co","YLIANA MOZOS CAMPOS","2729185 -- 2728404",,4
71,"111001035602","DISTRITAL","COL JUAN EVANGELISTA GOMEZ (IED)","DG 39 SUR # 2 - 00 ESTE","LAS GUACAMAYAS","cedjuanevangelist4@redp.edu.co","ALFONSO GUERRERO GUERRERO","3678094 -- 2075952",,4
72,"111001046621","DISTRITAL","COL NUEVA DELHI (IED)","DG 60 B SUR # 14 A - 33 ESTE","NUEVA DELHI","cednvadelhi4@redp.edu.co","AMELIA GOMEZ OROZCO","3652024 -- 3652313 -- 3652314",,4
73,"111001086789","DISTRITAL","COL RAFAEL NUÑEZ (IED)","KR 9 A # 18 - 74 SUR","SOCIEGO","cedrafaelnunez4@redp.edu.co","MARTHA LUCY TELLEZ FONSECA","2789919 -- 2784524",,4
74,"111001102075","DISTRITAL","COL ENTRE NUBES SURORIENTAL (IED)","CL 43 B SUR # 1 D - 03 ESTE","LA GLORIA OCCIDENTAL","ceanibalfernande4@redp.edu.co","SONIA ISABEL RIVEROS GOMEZ","2068676 -- 3644228",,4
75,"111001098817","DISTRITAL - CONCESION","COL COLSUBSIDIO NUEVA ROMA (CED)","CL 48 SUR # 4 A - 39 ESTE","SANTA RITA SUR ORIENTAL","colnuevaroma4@redp.edu.co","GLORIA CARMERIA GALVIS LEAL","5990273 -- 5990270 -- 5990272",,4
76,"111001098825","DISTRITAL - CONCESION","COL COLSUBSIDIO SAN VICENTE (IED)","KR 8 ESTE # 33 - 70 SUR","SAN VICENTE SUR ORIENTAL","info@colegiocolsubsidiosanvicenteied.edu.co","RAMON GARAVITO CUELLAR","3676689 -- 3676684","ramon.garavito@colsubsidio.com",4
77,"311001002461","PRIVADO","INST SAN JUAN DE DIOS","CL 17 SUR # 7 - 15","SOCIEGO","secretaria@isjd.edu.co","JUAN CARLOS GARZON VARGAS","2722360 -- 7435555","rectoria@isjd.edu.co",4
78,"311001002843","PRIVADO","COL INTERAMERICANO","KR 8 # 19 - 18 SUR","SOCIEGO","col.inter@hotmail.com","JAIME EMILIO VILLAR ACOSTA","3661514 -- 7023005",,4
79,"311001006601","PRIVADO","CENT CIAL MADRE ELISA RONCALLO","KR 3 C ESTE # 41 - 23 SUR","LA VICTORIA","cencomer@hotmail.com","HNA ASTRID ANGARITA GUZMAN","2068572 -- 3630315",,4
80,"311001009040","PRIVADO","COL DIEGO FALLON","CL 26 SUR # 9 - 61","SOCIEGO","cdfl50@colegiodiegofallonlasallano.edu.co","DIEGO LOPEZ URIBE","2394550 -- 2722040",,4
81,"311001029474","PRIVADO","COL NUEVA ALIANZA INTEGRAL","KR 7 A # 7 - 60 SUR","SOCIEGO","contacto@colegionai.edu.co","CARMEN AMANDA ROMERO VIVAS","2892845","secretaria@colegionai.edu.co",4
82,"311001034117","PRIVADO","COLEGIO PRINCIPE DE PAZ","CL 41 SUR # 3 - 55 ESTE","LA GLORIA ","colegioprincipedepaz@gmail.com","ALBEIRO RUBIO PINTO","3679066 -- 2071708",,4
83,"111001020338","PRIVADO","COL AVE MARIA","CL 12 SUR # 4 - 40","SANTA ANA SUR","avemaria.colegio2@gmail.com","HNA AMPARO LOAIZA VANEGAS","2460868",,4
84,"111001013820","DISTRITAL","COL SANTA LIBRADA (IED)","CL 75 A SUR # 1 B - 45 ESTE","LA ANDREA","cedsantalibrada5@redp.edu.co","MIRIAM INES GUEVARA RODRIGUEZ","7674757",,5
85,"111001013935","DISTRITAL","COL SANTA MARTHA (IED)","CL 69 SUR # 1 B - 37 ESTE","BARRANQUILLITA","cedsantamartha5@redp.edu.co","HERMES MEDARDO REINA CAJIAO","7671600 -- 2004328 -- 7671630",,5
86,"111001016039","DISTRITAL","COL ORLANDO FALS BORDA (IED)","KR 1 A ESTE # 72 - 60 SUR","SANTA LIBRADA NORTE","cedbarranquillita5@redp.edu.co","EDUARDO RAMIREZ RUIZ","7730905 -- 7730937 -- 7730993","colbarranquillita5@hotmail.com",5
87,"111001024643","DISTRITAL","COL NUEVA ESPERANZA (IED)","KR 15 ESTE # 76 - 72 SUR","LA CABAÑA","cednvaesperanza5@redp.edu.co","HERNANDO MARTINEZ NIÑO","3676018 -- 3676032 -- 3654999 -- 2006679 -- 3654900 -- 3653888 -- 3653777",,5
88,"111001030872","DISTRITAL","COL ESTANISLAO ZULETA (IED)","KR 7 C ESTE # 92 - 48 SUR","EL PROGRESO USME","coldiestanislaozul5@redp.edu.co","JOHN WILLIAM VASQUEZ MORA","7646710 -- 7734717",,5
89,"111001041556","DISTRITAL","COL PROVINCIA DE QUEBEC (IED)","CL 74 C SUR # 14 - 40 ESTE","JUAN REY SUR","coldiprovinciadequ5@redp.edu.co","MARIA ADIELA QUINTERO CALDERON","3638880 -- 3654400 -- 3654440",,5
90,"111001044270","DISTRITAL","COL LOS COMUNEROS - OSWALDO GUAYAZAMIN (IED)","KR 4 G ESTE # 94 A - 23 SUR CL 95 C SUR # 4 A - 10 ESTE","SERRANIAS I","cedloscomuneros5@redp.edu.co","OSCAR ERNESTO ARENAS VEGA","7613555 -- 7686996",,5
91,"111001045705","DISTRITAL","COL LA AURORA (IED)","TV 3 B # 70 A - 16 SUR","LA AURORA","coldilaaurora5@redp.edu.co","MARTIN ELADIO RAMIREZ RAMOS","7626890 -- 7626891",,5
92,"111001046485","DISTRITAL","COL NUEVO SAN ANDRES DE LOS ALTOS (IED)","CL 69 SUR # 2 B - 15","NUEVO SAN ANDRES","nuevosnandre5@gmail.com","LUIS ALFREDO RODRIGUEZ RODRIGUEZ","7688210",,5
93,"111001046931","DISTRITAL","COL ATABANZHA (IED)","CL 92 SUR # 2 - 43","MARICHUELA","colatabanzha@redp.edu.co","CONSTANZA IVET BOLIVAR SILVA","7641219 -- 7646512 -- 7641220","cedvalledecafam5@redp.edu.co",5
94,"111001065234","DISTRITAL","COL USMINIA (IED)","TV 1 ESTE # 103 A - 19 SUR","USMINIA","cedusminia5@redp.edu.co","MARCOS ARCESIO ESPITIA ROJAS","7671614",,5
95,"111001076201","DISTRITAL","COL DIEGO MONTAÑA CUELLAR (IED)","KR 2 ESTE # 101 A - 01 SUR","DESARROLLO BRAZUELOS I","cedmonteblanco5@redp.edu.co","JOSE RICARDO MOLINA SOLANO","7671619 -- 7616822",,5
96,"111001077895","DISTRITAL","COL OFELIA URIBE DE ACOSTA (IED)","CL 81 A SUR # 6 - 40 ESTE INT 1","LA ESPERANZA SUR","cedelbosque5@redp.edu.co","LUIS MARIO LANZA RODRIGUEZ","7735125 -- 7735126 -- 7735189",,5
97,"111001077917","DISTRITAL","COL BRASILIA - USME (IED)","KR 1 BIS B ESTE # 73 B - 97 SUR","SANTA LIBRADA NORTE","cedbrasiliausme5@redp.edu.co","LIZ LEDIER ALDANA GRANADOS","7672233 -- 7622130",,5
98,"111001078638","DISTRITAL","COL EL VIRREY JOSE SOLIS (IED)","KR 2 B ESTE # 92 - 41 SUR","EL VIRREY","coldielvirreyjoses5@redp.edu.co","BETSY CUSTODIA TURGA DE ALFONSO","7671634 -- 7672789",,5
99,"111001083011","DISTRITAL","COL MIGUEL DE CERVANTES SAAVEDRA (IED)","KR 1 A # 76 BIS - 15 SUR","MARICHUELA","cedmigueldecervan5@redp.edu.co","VICTOR ZENON CARO CUERVO","2001025",,5
100,"111001086614","DISTRITAL","COL CHUNIZA (IED)","KR 1 G ESTE # 84 A - 42 SUR","CHUNIZA","cedchuniza5@redp.edu.co","JORGE IGNACIO SANABRIA ROMERO","7673402 -- 7673325",,5
101,"111001094439","DISTRITAL","COL FERNANDO GONZALEZ OCHOA (IED)","KR 4 D ESTE # 89 - 55 SUR","CHUNIZA","colfergonzaochoa@redp.edu.co","NOHORA ELCY CLAVIJO GARAVITO","7682629","jannethr24@hotmail.com",5
102,"111001098868","DISTRITAL","COL LUIS EDUARDO MORA OSEJO (IED)","CL 95 SUR # 3 - 00 ESTE","MONTE BLANCO","insdialuiseduardomor@redp.edu.co","GERARDO VALCARCEL ACOSTA","7688132 -- 7671628",,5
103,"111001104337","DISTRITAL","COL EDUARDO UMAÑA MENDOZA (IED)","CL 111 A BIS SUR # 4 A - 41 ESTE","VILLA ISRAEL","iedeumendoza@redp.edu.co","SOCORRO LOPEZ IZQUIERDO","7688322 -- 7773269",,5
104,"111001107760","DISTRITAL","COL PAULO FREIRE (IED)","KR 1 ESTE # 65 D - 08 SUR","PORVENIR","colpaulofreire@redp.edu.co","NORMA LEONOR RONCANCIO RAMIREZ","7647442 -- 7391175 -- 7391176 -- 7391177 -- 7391178",,5
105,"111850000740","DISTRITAL","COL FRANCISCO ANTONIO ZEA DE USME (IED)","TV 2 A # 135 - 78 SUR","CENTRO USME","coldeideusme5@redp.edu.co","CARLOS EDGAR NIÑO JARAMILLO","7660068 -- 7660823 -- 7660712",,5
106,"111850001380","DISTRITAL","COL EL CORTIJO - VIANEY (IED)","KR 2 A # 74 B BIS - 00 SUR","SANTA LIBRADA","escdielcortijo5@redp.edu.co","CESAR HUMBERTO BERNAL MUÑOZ","7640384 -- 7629050",,5
107,"111850001428","DISTRITAL","COL ALMIRANTE PADILLA (IED)","CL 76 A SUR # 1 D - 59 ESTE","LA ANDREA","cedalmirantepadil5@redp.edu.co","WILSON ORLANDO SUAREZ PARRADO","7672628 -- 7672629 -- 7672634 -- 7611604 -- 7686178",,5
108,"111850001461","DISTRITAL","COL LOS TEJARES (IED)","CL 75 C BIS SUR # 2 C - 44 ESTE","LA CABAÑA","cedlostejares5@redp.edu.co","MANUEL ELADIO RAMIREZ","7628944",,5
109,"111850001576","DISTRITAL","COL FEDERICO GARCIA LORCA (IED)","KR 4 ESTE # 82 - 45 SUR","GRAN YOMASA","cedfedericogarcia5@redp.edu.co","MARCOS WILLIAM SALAMANCA REINA","7681523 -- 7671624",,5
110,"211001032501","DISTRITAL","COL LAS VIOLETAS (IED)","CL 83 SUR # 13 - 33 ESTE","TIVAQUE SUR","cedlasvioletas5@redp.edu.co","LUIS ANTONIO SANDOVAL SANABRIA","3651599 -- 3654962",,5
111,"211001094832","DISTRITAL","COL CIUDAD DE VILLAVICENCIO (IED)","KR 6 H ESTE # 114 - 88 SUR","PUERTA AL LLANO DE USME","escdipuertaalllano5@redp.edu.co","JOSE RICARDO MOLINA SOLANO","7735522 -- 7733554",,5
112,"211850000051","DISTRITAL","COL GRAN YOMASA (IED)","CL 81 C SUR # 2 BIS - 00 ESTE","GRAN YOMASA","cedgranyomasa5@redp.edu.co","GUSTAVO ALONSO FUENTES TORRES","7671577 -- 7671544 -- 7641348",,5
113,"211850000787","DISTRITAL","COL TENERIFE - GRANADA SUR (IED)","KR 2 # 91 - 14 SUR","MONTE BLANCO","escditenerife5@redp.edu.co","DARIO SANGUINO M.","2006724 -- 7687886",,5
